id,label,site_index,url,domain,is_shortener,had_query_params,query_redacted
benign_site_156,benign,156,https://aldridge.com/security-best-practice-confirm-banking-changes/,aldridge.com,False,False,False
benign_site_157,benign,157,https://www.trujacodideliveryexpress.com/,www.trujacodideliveryexpress.com,False,False,False
benign_site_158,benign,158,https://campaign.rtm.com/realtimesocial/share.aspx?promotionId=11011,campaign.rtm.com,False,True,True
benign_site_159,benign,159,https://www.lovemrsmommy.com/2022/08/50-amazon-gift-card-or-50-to-paypal.html,www.lovemrsmommy.com,False,False,False
benign_site_162,benign,162,https://www.greystar.com/terms-of-use,www.greystar.com,False,False,False
benign_site_166,benign,166,https://www.gotnextfoundation.org/,www.gotnextfoundation.org,False,False,False
benign_site_167,benign,167,https://linkfly.to/Flywithshelly,linkfly.to,False,False,False
benign_site_168,benign,168,https://www.southcoast.org/services/urgent-care/,www.southcoast.org,False,False,False
benign_site_169,benign,169,https://bestselling90.rssing.com/chan-15661538/all_p3.html,bestselling90.rssing.com,False,False,False
benign_site_173,benign,173,https://www.pinterest.com/pin/822892163189887025/sent/,www.pinterest.com,False,True,True
benign_site_174,benign,174,https://dulcedo.com/,dulcedo.com,False,False,False
benign_site_176,benign,176,https://www.celebratelit.com/saving-the-statue-of-liberty-celebration-tour/,www.celebratelit.com,False,False,False
benign_site_177,benign,177,https://www.rafflecopter.com/rafl/display/4221b3a8379/,www.rafflecopter.com,False,False,False
benign_site_179,benign,179,https://www.usatoday.com/story/sports/ncaaw/2024/03/14/womens-college-basketball-coaches-earning-1-million-or-more/72952970007/,www.usatoday.com,False,False,False
benign_site_18,benign,18,https://www.fleetminicabs.com/,www.fleetminicabs.com,False,False,False
benign_site_182,benign,182,https://kit.co/JOY_SHOP,kit.co,False,False,False
benign_site_183,benign,183,https://offer.tcpfast.com/jobshubusa-amazon-jobs/,offer.tcpfast.com,False,False,False
benign_site_184,benign,184,https://linktr.ee/3dgameman,linktr.ee,False,False,False
benign_site_186,benign,186,https://pangian.com/remote/,pangian.com,False,False,False
benign_site_187,benign,187,https://joyshopbd.blogspot.com/2025/05/redragon-s101-gaming-keyboard-mouse.html,joyshopbd.blogspot.com,False,False,False
benign_site_188,benign,188,https://www.usatoday.com/story/sports/ncaaf/2023/12/08/college-football-award-winners-2023-season/71858120007/,www.usatoday.com,False,False,False
benign_site_19,benign,19,https://jadajackson.com/,jadajackson.com,False,False,False
benign_site_190,benign,190,https://www.usatoday.com/story/sports/nfl/eagles/2023/12/15/philadelphia-eagles-christmas-album-jason-kelce-jordan-mailata/71847975007/,www.usatoday.com,False,False,False
benign_site_192,benign,192,https://c8ke.com/rafikul10543,c8ke.com,False,False,False
benign_site_194,benign,194,https://triedandtruemomjobs.com/ProofreadworkshopYT,triedandtruemomjobs.com,False,False,False
benign_site_195,benign,195,https://ghliterary.com/,ghliterary.com,False,False,False
benign_site_199,benign,199,https://kingsumo.com/g/3zjl6z1/summer-planter-giveaway/ponlrdl,kingsumo.com,False,False,False
benign_site_2,benign,2,https://colnect.com/en/gift_cards/gift_card/106402-Logo_and_Smile-Logo_-_Amazon_and_Smile-Amazon-United_States_of_America,colnect.com,False,False,False
benign_site_20,benign,20,https://www.alert.ngo/,www.alert.ngo,False,False,False
benign_site_200,benign,200,https://www.fitfiances.com/,www.fitfiances.com,False,False,False
benign_site_201,benign,201,https://resumeofficial.com/,resumeofficial.com,False,False,False
benign_site_204,benign,204,https://mobilecomm84.company.site/,mobilecomm84.company.site,False,False,False
benign_site_205,benign,205,https://app.rate4rewards.com/,app.rate4rewards.com,False,False,False
benign_site_206,benign,206,https://goingfitunfit.com/spring-fling-50-amazon-cash-giveaway/,goingfitunfit.com,False,False,False
benign_site_208,benign,208,https://tanteotequila.com/pages/spicy-marg-season-sweeps,tanteotequila.com,False,False,False
benign_site_210,benign,210,https://linktr.ee/naomispringthorp,linktr.ee,False,False,False
benign_site_211,benign,211,https://my-store-105131c.creator-spring.com/listing/kinshuk-t-shirt,my-store-105131c.creator-spring.com,False,False,False
benign_site_212,benign,212,https://www.shopmium.com/uk/download,www.shopmium.com,False,False,False
benign_site_213,benign,213,https://www.usatoday.com/story/sports/columnist/mike-freeman/2023/12/19/drazen-petrovic-hall-of-famer-new-jersey-nets/71918378007/,www.usatoday.com,False,False,False
benign_site_215,benign,215,https://giveaway.buildasoil.com/458843/22634883,giveaway.buildasoil.com,False,False,False
benign_site_22,benign,22,https://triedandtruemomjobs.com/BENewsletter,triedandtruemomjobs.com,False,False,False
benign_site_220,benign,220,https://www.readingreality.net/2025/06/summer-2025-seasons-of-books-giveaway-hop/,www.readingreality.net,False,False,False
benign_site_223,benign,223,https://dealstg.blogspot.com/2023/10/holdireinen-ikea-gutschein-imwertvon500.html,dealstg.blogspot.com,False,False,False
benign_site_224,benign,224,https://pacequesobowls.com/?sre=knXK6Ai6c2,pacequesobowls.com,False,True,False
benign_site_225,benign,225,https://allthingsalison.com/,allthingsalison.com,False,False,False
benign_site_229,benign,229,https://www.fyiremotejobs.com/,www.fyiremotejobs.com,False,False,False
benign_site_23,benign,23,https://secure.actblue.com/donate/vanel-for-new-york,secure.actblue.com,False,False,False
benign_site_230,benign,230,https://www.pinterest.com/bestofluck640/skin-care-and-beauty-products-store/,www.pinterest.com,False,True,True
benign_site_231,benign,231,https://www.zola.com/registry/wesolek2025,www.zola.com,False,False,False
benign_site_232,benign,232,https://www.theinfluencerpa.com/,www.theinfluencerpa.com,False,False,False
benign_site_234,benign,234,https://www.power106.com/,www.power106.com,False,False,False
benign_site_235,benign,235,https://www.priority661.com/,www.priority661.com,False,False,False
benign_site_236,benign,236,https://www.overlai.app/,www.overlai.app,False,False,False
benign_site_237,benign,237,https://theaifield.com/,theaifield.com,False,False,False
benign_site_238,benign,238,https://t.me/dinaminasconrosyta,t.me,False,False,False
benign_site_239,benign,239,https://beacons.ai/yellowfishplanet,beacons.ai,False,False,False
benign_site_24,benign,24,https://sparksmotorsofficial.com/pages/blackfriday,sparksmotorsofficial.com,False,False,False
benign_site_242,benign,242,https://hop-apps.clickbank.net?errCode=accntstate&destinationUrl=https%3A%2F%2Fwriteappreviews.com%2Froute%2Fclickbankwar.php,hop-apps.clickbank.net,False,True,True
benign_site_244,benign,244,https://www.reuters.com/world/us/us-probes-effort-impersonate-white-house-chief-staff-wsj-reports-2025-05-30,www.reuters.com,False,False,False
benign_site_245,benign,245,https://workspace.google.com/,workspace.google.com,False,True,True
benign_site_247,benign,247,https://linktr.ee/World_of_Books65,linktr.ee,False,False,False
benign_site_249,benign,249,https://actionnetwork.org/events/teamsters-local-396-may-2025-ups-feeder-seminar,actionnetwork.org,False,False,False
benign_site_250,benign,250,https://kingsumo.com/g/1vj6xz1/bloom-swoon-romance-book-giveaway/rl6en2z,kingsumo.com,False,False,False
benign_site_256,benign,256,https://www.way2fresher.com/,www.way2fresher.com,False,False,False
benign_site_257,benign,257,https://sassnfrass.com/,sassnfrass.com,False,False,False
benign_site_258,benign,258,https://gologin.com/register/?ch_name=tom-blake,gologin.com,False,True,True
benign_site_259,benign,259,https://www.mofa.go.jp/na/na1/ca/pageite_000001_01077.html,www.mofa.go.jp,False,False,False
benign_site_26,benign,26,https://versatileer.com/2025/05/12/ends-05-21-the-boy-upon-death-reapers-last-call-by-j-robert-adams-book-blitz-100-amazon-gift-card-giveaway/,versatileer.com,False,False,False
benign_site_263,benign,263,https://www.celebratelit.com/flight-of-fate-celebration-tour/,www.celebratelit.com,False,False,False
benign_site_265,benign,265,https://linktr.ee/romiepet,linktr.ee,False,False,False
benign_site_267,benign,267,https://emmygatrell.com/book-fair/,emmygatrell.com,False,True,True
benign_site_27,benign,27,https://www.amazon.de/dp/B07S764QNY,www.amazon.de,False,True,True
benign_site_272,benign,272,https://www.readingreality.net/2025/05/come-what-may-giveaway-hop-3/,www.readingreality.net,False,False,False
benign_site_274,benign,274,https://connect.clickandpledge.com/Organization/cleaningforareason/Campaign/cbfl100k/Fundraiser/EmmaArzate,connect.clickandpledge.com,False,False,False
benign_site_275,benign,275,https://catalyit.com/,catalyit.com,False,False,False
benign_site_276,benign,276,https://www.liveworld.com/company/careers,www.liveworld.com,False,False,False
benign_site_277,benign,277,https://www.nerdwallet.com/article/banking/is-it-safer-to-bank-on-your-phone-or-your-computer,www.nerdwallet.com,False,False,False
benign_site_279,benign,279,https://www.claim.co/,www.claim.co,False,False,False
benign_site_28,benign,28,https://st-philip-neri-catholic-school.square.site/,st-philip-neri-catholic-school.square.site,False,False,False
benign_site_280,benign,280,https://joyshopbd.blogspot.com/2025/06/unlock-business-productivity-with.html,joyshopbd.blogspot.com,False,False,False
benign_site_283,benign,283,https://www.idtheftcenter.org/post/spear-phishing-new-client-scams/,www.idtheftcenter.org,False,False,False
benign_site_284,benign,284,https://ursupermart.com/products/smart-electronic-hand-dynamometer,ursupermart.com,False,False,False
benign_site_285,benign,285,https://sites.google.com/view/partner-with-anthony-pwa/home,sites.google.com,False,False,False
benign_site_286,benign,286,https://smrturl.co/o/26703/53198295?s1=,smrturl.co,True,True,False
benign_site_287,benign,287,https://www.celebratelit.com/logan-v-the-hateful-strawberries-celebration-tour/,www.celebratelit.com,False,False,False
benign_site_288,benign,288,https://enetsec.com/,enetsec.com,False,False,False
benign_site_290,benign,290,https://www.celebratelit.com/texas-divided-celebration-tour/,www.celebratelit.com,False,False,False
benign_site_292,benign,292,https://citypersonnel.net/,citypersonnel.net,False,False,False
benign_site_296,benign,296,https://career247.com/job-linked-programs/axis/pbrm/application,career247.com,False,True,True
benign_site_297,benign,297,https://www.mickeyalicekwapis.com/,www.mickeyalicekwapis.com,False,False,False
benign_site_298,benign,298,https://t.co/clEmrH,t.co,True,False,False
benign_site_299,benign,299,https://lnkd.in/gvjDZAMk,lnkd.in,False,False,False
benign_site_3,benign,3,https://unitedmasters.com/m/64067d0aac4cd66062e05b58,unitedmasters.com,False,False,False
benign_site_30,benign,30,https://amzn.in/i1VT6cB,amzn.in,False,False,False
benign_site_301,benign,301,https://woobox.com/9zecba/ra53gi,woobox.com,False,False,False
benign_site_302,benign,302,https://www.thumbtack.com/tx/fort-worth/water-heater-repair/wild-west-plumbing/service/514414384165380098,www.thumbtack.com,False,False,False
benign_site_304,benign,304,https://t.co/Yg,t.co,True,False,False
benign_site_305,benign,305,https://migratetoeurope.com/,migratetoeurope.com,False,False,False
benign_site_306,benign,306,https://dealstg.blogspot.com/2023/10/uscitizens-haveachanceto-wina150-kfc.html,dealstg.blogspot.com,False,False,False
benign_site_309,benign,309,https://fr.pinterest.com/pin/1091771134671476363/sent/,fr.pinterest.com,False,True,True
benign_site_31,benign,31,https://sweepwidget.com/c/89795-13vfuli5/igol37-89795,sweepwidget.com,False,False,False
benign_site_311,benign,311,https://linktr.ee/daytimefinds,linktr.ee,False,False,False
benign_site_313,benign,313,https://www.amashaamasala.com/,www.amashaamasala.com,False,False,False
benign_site_314,benign,314,https://smrturl.co/o/26703/53215115?s1=,smrturl.co,True,True,False
benign_site_318,benign,318,https://kingsumo.com/g/1j262e3/weekly-subscriber-giveaway/rlp88pz,kingsumo.com,False,False,False
benign_site_32,benign,32,https://dealstg.blogspot.com/2023/10/ukcitizens-get100foryour.html,dealstg.blogspot.com,False,False,False
benign_site_321,benign,321,https://versatileer.com/2025/05/01/ends-05-15-10-u-pick-it-any-gift-card-come-what-may-25-giveaway-hop/,versatileer.com,False,False,False
benign_site_323,benign,323,https://bigbangtheoryweeknights.com,bigbangtheoryweeknights.com,False,False,False
benign_site_324,benign,324,https://joyshopbd.blogspot.com/2025/05/why-godonlif-candle-warmer-lamp-is.html,joyshopbd.blogspot.com,False,False,False
benign_site_325,benign,325,https://quality-products1.blogspot.com/2024/11/surprise-samples-box.html,quality-products1.blogspot.com,False,False,False
benign_site_326,benign,326,https://www.zola.com/registry/spitzerlobosco,www.zola.com,False,False,False
benign_site_327,benign,327,https://video.fc2.com/content/20220430gfhQmbHr,video.fc2.com,False,False,False
benign_site_328,benign,328,https://joyshopbd.blogspot.com/2025/06/why-forsining-triangle-skeleton-watch.html,joyshopbd.blogspot.com,False,False,False
benign_site_329,benign,329,https://sevenaire.com/,sevenaire.com,False,False,False
benign_site_33,benign,33,https://www.reloadhero.com/en/,www.reloadhero.com,False,False,False
benign_site_330,benign,330,https://www.gambleaware.org/,www.gambleaware.org,False,False,True
benign_site_331,benign,331,https://itzazkhalid.com/,itzazkhalid.com,False,False,False
benign_site_332,benign,332,https://hackerschool.in/,hackerschool.in,False,False,False
benign_site_333,benign,333,https://versatileer.com/2025/05/16/ends-05-31-10-u-pick-it-any-gift-card-moms-rock-25-giveaway-hop/,versatileer.com,False,False,False
benign_site_335,benign,335,https://busybutglowing.com/,busybutglowing.com,False,False,False
benign_site_336,benign,336,https://royalstaffing.in/,royalstaffing.in,False,False,False
benign_site_337,benign,337,https://ursupermart.com/products/led-corner-shelf-unit-with-mood-lighting,ursupermart.com,False,False,False
benign_site_338,benign,338,https://www.usatoday.com/story/sports/ncaab/2024/03/09/march-madness-bubble-winners-losers-villanova-st-johns/72915604007/,www.usatoday.com,False,False,False
benign_site_339,benign,339,https://relevate.life/,relevate.life,False,False,False
benign_site_341,benign,341,https://www.authorloriarmstrong.com/,www.authorloriarmstrong.com,False,False,False
benign_site_343,benign,343,https://sweepwidget.com/c/90960-do7rga54/i7rfeu-90960,sweepwidget.com,False,False,False
benign_site_344,benign,344,https://jobguppy.com/,jobguppy.com,False,False,False
benign_site_346,benign,346,https://campaign.rtm.com/realtimesocial/share.aspx?promotionId=10929,campaign.rtm.com,False,True,True
benign_site_348,benign,348,https://thereviewer20.blogspot.com/,thereviewer20.blogspot.com,False,False,False
benign_site_349,benign,349,https://joyshopbd.blogspot.com/2025/05/elegant-precision-why-olevs-mens-silver.html,joyshopbd.blogspot.com,False,False,False
benign_site_35,benign,35,https://atxecu.com/,atxecu.com,False,False,False
benign_site_350,benign,350,https://joyshopbd.blogspot.com/2025/04/meet-kaigerr-tx16pro-2025-powerhouse.html,joyshopbd.blogspot.com,False,False,False
benign_site_354,benign,354,https://www.underscoretalent.com/,www.underscoretalent.com,False,False,False
benign_site_356,benign,356,https://www.itsatravelod.com/find-remote-jobs,www.itsatravelod.com,False,False,False
benign_site_357,benign,357,https://www.roblox.com/games/13611351692/Redeem-UGC-Limited-Codes,www.roblox.com,False,False,False
benign_site_358,benign,358,https://sumnerfoodbank.charityproud.org/Donate,sumnerfoodbank.charityproud.org,False,False,False
benign_site_36,benign,36,https://t.me/+qA_l_M1BjTFhM2E5,t.me,False,False,False
benign_site_362,benign,362,https://my-store-105131c.creator-spring.com/listing/kinshuk,my-store-105131c.creator-spring.com,False,False,False
benign_site_364,benign,364,https://hutnan.sk/,hutnan.sk,False,False,False
benign_site_365,benign,365,https://sisterhoodtalent.com/,sisterhoodtalent.com,False,False,False
benign_site_37,benign,37,https://creatorsagency.co/,creatorsagency.co,False,False,False
benign_site_370,benign,370,https://www.korea.net/,www.korea.net,False,False,False
benign_site_371,benign,371,https://lastdivebar.com/,lastdivebar.com,False,False,False
benign_site_375,benign,375,https://www.itsatravelod.com/find-remote-jobs,www.itsatravelod.com,False,False,False
benign_site_376,benign,376,https://turing.com/,turing.com,False,False,False
benign_site_377,benign,377,https://mrbelieverhub.com/,mrbelieverhub.com,False,False,False
benign_site_379,benign,379,https://hvr-amazon.my.site.com/Index?startURL=%2FBBJobDetails%3FAZREF%3Dhttps%3A%2F%2Fhvr-amazon.my.salesforce.com%2F%26reqid%3Da0RKZ000002ciiq2AA,hvr-amazon.my.site.com,False,True,True
benign_site_382,benign,382,https://tower60foundation.com/,tower60foundation.com,False,False,False
benign_site_383,benign,383,https://www.thejoint.com/texas/seagoville/seagoville-28170,www.thejoint.com,False,False,False
benign_site_384,benign,384,https://www.pinterest.com/pin/721420434056905213/sent/,www.pinterest.com,False,True,True
benign_site_386,benign,386,https://fr.pinterest.com/pin/1091771134671470081/sent/,fr.pinterest.com,False,True,True
benign_site_387,benign,387,https://kingsumo.com/g/m5g0oz3/amazon-10-gift-card-giveaway-april-2025/noop240,kingsumo.com,False,False,False
benign_site_388,benign,388,https://www.highfieldinsurance.co.uk/,www.highfieldinsurance.co.uk,False,False,False
benign_site_390,benign,390,https://kingsumo.com/g/1wgko0m/summer-days-giveaway/w8oe266,kingsumo.com,False,False,False
benign_site_392,benign,392,https://www.usatoday.com/story/sports/nfl/chargers/2023/12/20/derwin-james-dance-party-seniors-groove-with-chargers-star/71747305007/,www.usatoday.com,False,False,False
benign_site_394,benign,394,https://www.bankofamerica.com/security-center/faq/additional-security-features/,www.bankofamerica.com,False,False,False
benign_site_395,benign,395,https://matchaslimweightlossde.blogspot.com/,matchaslimweightlossde.blogspot.com,False,False,False
benign_site_398,benign,398,https://www.usatoday.com/story/sports/nfl/steelers/2024/03/10/russell-wilson-pittsburgh-steelers-contract-quarterback-kenny-pickett/72927381007/,www.usatoday.com,False,False,False
benign_site_399,benign,399,https://joinhoney.com/ref/k28r6gq,joinhoney.com,False,False,False
benign_site_401,benign,401,https://kingsumo.com/g/m5g0oz3/amazon-10-gift-card-giveaway-april-2025/d552rk5,kingsumo.com,False,False,False
benign_site_402,benign,402,https://educativ.net/jobs/job/2898020-senior-program-manager-regulatory-intelligence-safety-and-compliance-risc-cross-border-compliance-cbc-luxembourg/,educativ.net,False,False,False
benign_site_403,benign,403,https://pacificfinancialderivatives-usa.blogspot.com/2025/01/pacific-financial-derivatives.html,pacificfinancialderivatives-usa.blogspot.com,False,False,False
benign_site_407,benign,407,https://blog.lafco.com/giveaways/summer-favorites/?lucky=220335,blog.lafco.com,False,True,False
benign_site_408,benign,408,https://metaltech4x4.com/metaltech-4x4-100-amazon-gift-card-w-suspension-purchase/,metaltech4x4.com,False,False,False
benign_site_410,benign,410,https://www.twitch.tv/msbelldandy,www.twitch.tv,False,False,False
benign_site_411,benign,411,https://www.applydubjob.com/2024/01/amazon-careers.html,www.applydubjob.com,False,False,False
benign_site_412,benign,412,https://filterbuy.com/backyard-renovation/,filterbuy.com,False,False,False
benign_site_413,benign,413,https://www.tunespeak.com/campaign/6761fb0d839d470001792e5c,www.tunespeak.com,False,True,True
benign_site_414,benign,414,https://www.celebratelit.com/three-words-and-a-kiss-celebration-tour/,www.celebratelit.com,False,False,False
benign_site_415,benign,415,https://www.valleyorthodonticsny.com/,www.valleyorthodonticsny.com,False,False,False
benign_site_416,benign,416,https://t.co/,t.co,True,False,False
benign_site_417,benign,417,https://versatileer.com/2025/05/17/ends-05-28-their-mended-hearts-by-angie-cole-book-tour-interview-25-amazon-gift-card-giveaway/,versatileer.com,False,False,False
benign_site_418,benign,418,https://www.usatoday.com/story/sports/mlb/dodgers/2024/03/20/dodgers-fire-shohei-ohtani-interpreter-stealing-money-allegations/73047113007/,www.usatoday.com,False,False,False
benign_site_419,benign,419,https://angelgifts.in/,angelgifts.in,False,False,False
benign_site_42,benign,42,https://linktr.ee/klshandwick,linktr.ee,False,False,False
benign_site_420,benign,420,https://roame.travel/giveaway,roame.travel,False,False,False
benign_site_421,benign,421,https://versatileer.com/2025/06/10/ends-06-18-shopping-for-a-highlanders-elopement-by-julia-kent-book-blitz-25-amazon-gift-card-giveaway/?jetpack_skip_subscription_popup=,versatileer.com,False,True,True
benign_site_423,benign,423,https://versatileer.com/2025/06/16/ends-06-30-10-u-pick-it-any-gift-card-dad-o-mite-25-giveaway-hop/,versatileer.com,False,False,False
benign_site_424,benign,424,https://www.cdogspins.com/giveaways,www.cdogspins.com,False,False,False
benign_site_425,benign,425,https://kingsumo.com/g/m5g0oz3/amazon-10-gift-card-giveaway-april-2025/7zznej8,kingsumo.com,False,False,False
benign_site_428,benign,428,https://ikonicroofing.com/,ikonicroofing.com,False,False,False
benign_site_43,benign,43,https://smrturl.co/o/26703/53257660?s1=,smrturl.co,True,True,False
benign_site_431,benign,431,https://maxell-usa.com/,maxell-usa.com,False,False,False
benign_site_432,benign,432,https://ul.ink/23W39V-Q1MMSK_t,ul.ink,False,False,False
benign_site_434,benign,434,https://fr.pinterest.com/?show_error=true,fr.pinterest.com,False,True,False
benign_site_436,benign,436,https://www.berkshirehathawayluxurygroup.com/,www.berkshirehathawayluxurygroup.com,False,False,False
benign_site_437,benign,437,https://kingsumo.com/g/1xqne9m/unexpected-blessings-giveaway/ky2gv49,kingsumo.com,False,False,False
benign_site_438,benign,438,https://kingsumo.com/g/36qwde1/childrens-summer-reading-giveaway/7zxoo48,kingsumo.com,False,False,False
benign_site_439,benign,439,https://www.celebratelit.com/the-herbalist-celebration-tour/,www.celebratelit.com,False,False,False
benign_site_44,benign,44,https://www.wonsulting.com/,www.wonsulting.com,False,False,False
benign_site_441,benign,441,https://woobox.com/c6bqhx/r9z0y7,woobox.com,False,False,False
benign_site_442,benign,442,https://jmnorthup.com,jmnorthup.com,False,False,False
benign_site_443,benign,443,https://thrillandchilltravel.com/,thrillandchilltravel.com,False,False,False
benign_site_445,benign,445,https://lifestylewithalli.com/,lifestylewithalli.com,False,False,False
benign_site_447,benign,447,https://www.mymdnow.com/blog/choosing-the-right-care-when-to-visit-urgent-care-primary-care-or-the-er,www.mymdnow.com,False,False,False
benign_site_449,benign,449,https://www.usatoday.com/story/sports/nfl/columnist/bell/2023/12/24/doug-williams-super-bowl-22-black-nfl-legend/71966820007/,www.usatoday.com,False,False,False
benign_site_453,benign,453,https://linktr.ee/Homefindsbymarcella,linktr.ee,False,False,False
benign_site_456,benign,456,https://www.usatoday.com/story/sports/nfl/columnist/nate-davis/2023/12/16/nfl-winners-losers-saturday-bengals-lions-broncos-colts-steelers/71949633007/,www.usatoday.com,False,False,False
benign_site_459,benign,459,https://www.theguardian.com/us-news/2024/feb/06/california-storms-threaten-flooding-landslides?CMP=share_btn_tw,www.theguardian.com,False,True,False
benign_site_461,benign,461,https://beacons.ai/thepolishedemerald,beacons.ai,False,False,False
benign_site_462,benign,462,https://www.cardsrus.pro/,www.cardsrus.pro,False,False,False
benign_site_463,benign,463,https://www.webtoons.com/en/romance/im-a-villainess-but-i-wont-live-like-one/list?title_no=7688,www.webtoons.com,False,True,False
benign_site_464,benign,464,https://gameflip.com/item/-7-00-amazon-gift-card-uk-/ad07a268-95f0-468e-9de4-2ad9106ec9ce,gameflip.com,False,False,False
benign_site_466,benign,466,https://dealstg.blogspot.com/2023/10/uscitizens-geta100walmartgift-card.html,dealstg.blogspot.com,False,False,False
benign_site_467,benign,467,https://joyshopbd.blogspot.com/2025/05/acer-aspire-5-slim-laptop-review.html,joyshopbd.blogspot.com,False,False,False
benign_site_469,benign,469,https://smrturl.co/o/26703/53234080?s1=,smrturl.co,True,True,False
benign_site_47,benign,47,https://www.empoweryouth.com/,www.empoweryouth.com,False,False,False
benign_site_470,benign,470,https://www.nazlegacy.org/,www.nazlegacy.org,False,False,False
benign_site_472,benign,472,https://www.usatoday.com/story/entertainment/tv/2023/11/08/where-to-watch-charlie-brown-thanksgiving/71504675007/,www.usatoday.com,False,False,False
benign_site_473,benign,473,https://linktr.ee/MissinOutMS,linktr.ee,False,False,False
benign_site_474,benign,474,https://www.usatoday.com/story/sports/mlb/columnist/gabe-lacques/2024/04/24/shohei-ohtani-stats-scandal-dodgers-first-month/73445941007/,www.usatoday.com,False,False,False
benign_site_475,benign,475,https://www.celebratelit.com/capture-the-moment-celebration-tour/,www.celebratelit.com,False,False,False
benign_site_476,benign,476,https://kingsumo.com/g/mpjqgdm/hello-summer-collaboraton-giveaway/5vn04pl,kingsumo.com,False,False,False
benign_site_477,benign,477,https://www.usatoday.com/story/sports/nfl/2024/03/05/kirk-cousins-landing-spots-vikings-falcons/72855231007/,www.usatoday.com,False,False,False
benign_site_478,benign,478,https://joyshopbd.blogspot.com/2025/06/the-new-macbook-pro-162-late-2024.html,joyshopbd.blogspot.com,False,False,False
benign_site_48,benign,48,https://www.celebratelit.com/the-aftermath-celebration-tour/,www.celebratelit.com,False,False,False
benign_site_480,benign,480,https://icodejr.com/,icodejr.com,False,False,False
benign_site_482,benign,482,https://hv69.com/,hv69.com,False,False,False
